company,ticker,date,price
Alphabet,GOOG,2008-07-01,267.1
Alphabet,GOOG,2008-06-30,262.95
Alphabet,GOOG,2008-06-27,263.77
Alphabet,GOOG,2008-06-26,264.15
Alphabet,GOOG,2008-06-25,275.22
Alphabet,GOOG,2008-06-24,270.88
Alphabet,GOOG,2008-06-23,272.33
Alphabet,GOOG,2008-06-20,272.94
Alphabet,GOOG,2008-06-19,279.82
Alphabet,GOOG,2008-06-18,280.91
Alphabet,GOOG,2008-06-17,284.45
Alphabet,GOOG,2008-06-16,286.12
Alphabet,GOOG,2008-06-13,285.47
Alphabet,GOOG,2008-06-12,276.2
Alphabet,GOOG,2008-06-11,272.33
Alphabet,GOOG,2008-06-10,276.81
Alphabet,GOOG,2008-06-09,278.66
Alphabet,GOOG,2008-06-06,283.22
Alphabet,GOOG,2008-06-05,292.86
Alphabet,GOOG,2008-06-04,285.82
Alphabet,GOOG,2008-06-03,283.37
Alphabet,GOOG,2008-06-02,287.21
Alphabet,GOOG,2008-05-30,292.61
Alphabet,GOOG,2008-05-29,291.21
Alphabet,GOOG,2008-05-28,283.84
Alphabet,GOOG,2008-05-27,280.17
Alphabet,GOOG,2008-05-23,272.04
Alphabet,GOOG,2008-05-22,274.46
Alphabet,GOOG,2008-05-21,274.72
Alphabet,GOOG,2008-05-20,289.01
Alphabet,GOOG,2008-05-19,288.47
Alphabet,GOOG,2008-05-16,289.74
Alphabet,GOOG,2008-05-15,290.21
Alphabet,GOOG,2008-05-14,287.86
Alphabet,GOOG,2008-05-13,291.21
Alphabet,GOOG,2008-05-12,292.18
Alphabet,GOOG,2008-05-09,286.3
Alphabet,GOOG,2008-05-08,291.21
Alphabet,GOOG,2008-05-07,289.21
Alphabet,GOOG,2008-05-06,292.89
Alphabet,GOOG,2008-05-05,297.15
Alphabet,GOOG,2008-05-02,290.35
Alphabet,GOOG,2008-05-01,296.24
Alphabet,GOOG,2008-04-30,286.86
Alphabet,GOOG,2008-04-29,278.96
Alphabet,GOOG,2008-04-28,275.78
Alphabet,GOOG,2008-04-25,271.76
Alphabet,GOOG,2008-04-24,271.25
Alphabet,GOOG,2008-04-23,272.97
Alphabet,GOOG,2008-04-22,277.22
Alphabet,GOOG,2008-04-21,268.63
Alphabet,GOOG,2008-04-18,269.44
Alphabet,GOOG,2008-04-17,224.55
Alphabet,GOOG,2008-04-16,227.29
Alphabet,GOOG,2008-04-15,223.2
Alphabet,GOOG,2008-04-14,225.6
Alphabet,GOOG,2008-04-11,228.5
Alphabet,GOOG,2008-04-10,234.3
Alphabet,GOOG,2008-04-09,231.86
Alphabet,GOOG,2008-04-08,233.67
Alphabet,GOOG,2008-04-07,238.17
Alphabet,GOOG,2008-04-04,235.31
Alphabet,GOOG,2008-04-03,227.33
Alphabet,GOOG,2008-04-02,232.62
Alphabet,GOOG,2008-04-01,232.62
Alphabet,GOOG,2008-03-31,220.01
Alphabet,GOOG,2008-03-28,218.82
Alphabet,GOOG,2008-03-27,221.82
Alphabet,GOOG,2008-03-26,228.87
Alphabet,GOOG,2008-03-25,225.16
Alphabet,GOOG,2008-03-24,230.05
Alphabet,GOOG,2008-03-20,216.56
Alphabet,GOOG,2008-03-19,215.78
Alphabet,GOOG,2008-03-18,219.36
Alphabet,GOOG,2008-03-17,209.73
Alphabet,GOOG,2008-03-14,218.74
Alphabet,GOOG,2008-03-13,221.28
Alphabet,GOOG,2008-03-12,219.87
Alphabet,GOOG,2008-03-11,219.7
Alphabet,GOOG,2008-03-10,206.6
